"term","description","url","package","title"
"as.character()","coerce object to character","https://stat.ethz.ch/R-manual/R-devel/library/base/html/character.html","base","Data types"
"as.factor()","coerce object to factor","https://stat.ethz.ch/R-manual/R-devel/library/base/html/factor.html","base",
"as.numeric()","coerce object to numeric","https://stat.ethz.ch/R-manual/R-devel/library/base/html/numeric.html","base",
"attr()","return or set individual attribute values","https://stat.ethz.ch/R-manual/R-devel/library/base/html/attr.html","base",
"attributes()","return all attributes of vector, matrix, <br> data frame, etc.","https://stat.ethz.ch/R-manual/R-devel/library/base/html/attributes.html","base",
"c()","create vector of numbers, characters, etc.","https://stat.ethz.ch/R-manual/R-devel/library/base/html/c.html","base",
"class()","return object class","https://stat.ethz.ch/R-manual/R-devel/library/base/html/class.html","base",
"data.frame()","create data frame","https://stat.ethz.ch/R-manual/R-devel/library/base/html/data.frame.html","base",
"dim()","return dimensions of matrix, data frame, etc.","https://stat.ethz.ch/R-manual/R-devel/library/base/html/dim.html","base",
"head()","return first rows of matrix, data frame, etc.","https://stat.ethz.ch/R-manual/R-devel/library/utils/html/head.html","utils",
"length()","return number of elements in a vector","https://stat.ethz.ch/R-manual/R-devel/library/base/html/length.html","base",
"matrix()","create matrix of numbers, characters, etc.","https://stat.ethz.ch/R-manual/R-devel/library/base/html/matrix.html","base",
"names()","return (and can assign) column names",,"base",
"ncol()","return number of columns in matrix, <br> data frame, etc.",,"base",
"nrow()","return number of rows in matrix, <br> data frame, etc.",,"base",
"rep()","create repetitions of numbers, characters, etc.",,"base",
"seq()","create sequences of numbers",,"base",
"str()","return object structure",,"base",
"tail()","return last rows of matrix, data frame, etc.",,"base",
"tibble()","create tibble",,"tibble",
"typeof()","return object type",,"base",
